DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,AIRPORT_NAME,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,
10135,1013503,30135,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,
10140,1014003,30140,ABQ,"Albuquerque, NM: Albuquerque International Sunport","Albuquerque, NM",NM,35,New Mexico,86,
10141,1014104,30141,ABR,"Aberdeen, SD: Aberdeen Regional","Aberdeen, SD",SD,46,South Dakota,67,
10146,1014602,30146,ABY,"Albany, GA: Southwest Georgia Regional","Albany, GA",GA,13,Georgia,34,
10155,1015502,30155,ACT,"Waco, TX: Waco Regional","Waco, TX",TX,48,Texas,74,
10157,1015703,30157,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County","Arcata/Eureka, CA",CA,06,California,91,
10158,1015804,30158,ACY,"Atlantic City, NJ: Atlantic City International","Atlantic City, NJ",NJ,34,New Jersey,21,
10165,1016504,30165,ADK,"Adak Island, AK: Adak","Adak Island, AK",AK,02,Alaska,1,
10170,1017001,30070,ADQ,"Kodiak, AK: Kodiak Airport","Kodiak, AK",AK,02,Alaska,1,
10185,1018502,30185,AEX,"Alexandria, LA: Alexandria International","Alexandria, LA",LA,22,Louisiana,72,
10208,1020803,30208,AGS,"Augusta, GA: Augusta Regional at Bush Field","Augusta, GA",GA,13,Georgia,34,
10257,1025702,30257,ALB,"Albany, NY: Albany International","Albany, NY",NY,36,New York,22,
10268,1026802,30268,ALO,"Waterloo, IA: Waterloo Regional","Waterloo, IA",IA,19,Iowa,61,
10279,1027903,30279,AMA,"Amarillo, TX: Rick Husband Amarillo International","Amarillo, TX",TX,48,Texas,74,
10299,1029904,30299,ANC,"Anchorage, AK: Ted Stevens Anchorage International","Anchorage, AK",AK,02,Alaska,1,
10333,1033302,30333,APN,"Alpena, MI: Alpena County Regional","Alpena, MI",MI,26,Michigan,43,
10372,1037203,30372,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field","Aspen, CO",CO,08,Colorado,82,
10397,1039705,30397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International","Atlanta, GA",GA,13,Georgia,34,
10408,1040803,30408,ATW,"Appleton, WI: Appleton International","Appleton, WI",WI,55,Wisconsin,45,
10423,1042302,30423,AUS,"Austin, TX: Austin - Bergstrom International","Austin, TX",TX,48,Texas,74,
10431,1043103,30431,AVL,"Asheville, NC: Asheville Regional","Asheville, NC",NC,37,North Carolina,36,
10434,1043403,30434,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","Scranton/Wilkes-Barre, PA",PA,42,Pennsylvania,23,
10469,1046902,30469,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International","Kalamazoo, MI",MI,26,Michigan,43,
10529,1052904,30529,BDL,"Hartford, CT: Bradley International","Hartford, CT",CT,09,Connecticut,11,
10551,1055102,30113,BET,"Bethel, AK: Bethel Airport","Bethel, AK",AK,02,Alaska,1,
10561,1056103,30561,BFL,"Bakersfield, CA: Meadows Field","Bakersfield, CA",CA,06,California,91,
10577,1057703,30577,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field","Binghamton, NY",NY,36,New York,22,
10590,1059004,30590,IFP,"Bullhead City, AZ: Laughlin/Bullhead International","Bullhead City, AZ",AZ,04,Arizona,81,
10599,1059904,30599,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International","Birmingham, AL",AL,01,Alabama,51,
10620,1062002,30620,BIL,"Billings, MT: Billings Logan International","Billings, MT",MT,30,Montana,84,
10627,1062702,30627,BIS,"Bismarck/Mandan, ND: Bismarck Municipal","Bismarck/Mandan, ND",ND,38,North Dakota,66,
10631,1063104,30631,BJI,"Bemidji, MN: Bemidji Regional","Bemidji, MN",MN,27,Minnesota,63,
10666,1066602,30666,BLI,"Bellingham, WA: Bellingham International","Bellingham, WA",WA,53,Washington,93,
10685,1068502,30685,BMI,"Bloomington/Normal, IL: Central Illinois Regional","Bloomington/Normal, IL",IL,17,Illinois,41,
10693,1069302,30693,BNA,"Nashville, TN: Nashville International","Nashville, TN",TN,47,Tennessee,54,
10713,1071302,30713,BOI,"Boise, ID: Boise Air Terminal","Boise, ID",ID,16,Idaho,83,
10721,1072102,30721,BOS,"Boston, MA: Logan International","Boston, MA",MA,25,Massachusetts,13,
10731,1073103,30731,BQK,"Brunswick, GA: Brunswick Golden Isles","Brunswick, GA",GA,13,Georgia,34,
10732,1073203,30732,BQN,"Aguadilla, PR: Rafael Hernandez","Aguadilla, PR",PR,72,Puerto Rico,3,
10739,1073905,30739,BRD,"Brainerd, MN: Brainerd Lakes Regional","Brainerd, MN",MN,27,Minnesota,63,
10747,1074702,30747,BRO,"Brownsville, TX: Brownsville South Padre Island International","Brownsville, TX",TX,48,Texas,74,
10754,1075403,30107,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial","Barrow, AK",AK,02,Alaska,1,
10779,1077902,30779,BTM,"Butte, MT: Bert Mooney","Butte, MT",MT,30,Montana,84,
10781,1078103,30781,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","Baton Rouge, LA",LA,22,Louisiana,72,
10785,1078502,30785,BTV,"Burlington, VT: Burlington International","Burlington, VT",VT,50,Vermont,16,
10792,1079204,30792,BUF,"Buffalo, NY: Buffalo Niagara International","Buffalo, NY",NY,36,New York,22,
10800,1080003,32575,BUR,"Burbank, CA: Bob Hope","Burbank, CA",CA,06,California,91,
10821,1082104,30852,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall","Baltimore, MD",MD,24,Maryland,35,
10849,1084903,30849,BZN,"Bozeman, MT: Bozeman Yellowstone International","Bozeman, MT",MT,30,Montana,84,
10868,1086803,30868,CAE,"Columbia, SC: Columbia Metropolitan","Columbia, SC",SC,45,South Carolina,37,
10874,1087402,30647,CAK,"Akron, OH: Akron-Canton Regional","Akron, OH",OH,39,Ohio,44,
10918,1091802,30918,CDC,"Cedar City, UT: Cedar City Regional","Cedar City, UT",UT,49,Utah,87,
10926,1092603,30913,CDV,"Cordova, AK: Merle K Mudhole Smith","Cordova, AK",AK,02,Alaska,1,
10980,1098002,30980,CHA,"Chattanooga, TN: Lovell Field","Chattanooga, TN",TN,47,Tennessee,54,
10990,1099003,30990,CHO,"Charlottesville, VA: Charlottesville Albemarle","Charlottesville, VA",VA,51,Virginia,38,
10994,1099402,30994,CHS,"Charleston, SC: Charleston AFB/International","Charleston, SC",SC,45,South Carolina,37,
11003,1100303,31003,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa","Cedar Rapids/Iowa City, IA",IA,19,Iowa,61,
11013,1101303,31013,CIU,"Sault Ste. Marie, MI: Chippewa County International","Sault Ste. Marie, MI",MI,26,Michigan,43,
11042,1104203,30647,CLE,"Cleveland, OH: Cleveland-Hopkins International","Cleveland, OH",OH,39,Ohio,44,
11049,1104902,31049,CLL,"College Station/Bryan, TX: Easterwood Field","College Station/Bryan, TX",TX,48,Texas,74,
11057,1105703,31057,CLT,"Charlotte, NC: Charlotte Douglas International","Charlotte, NC",NC,37,North Carolina,36,
11066,1106603,31066,CMH,"Columbus, OH: John Glenn Columbus International","Columbus, OH",OH,39,Ohio,44,
11076,1107602,31076,CMX,"Hancock/Houghton, MI: Houghton County Memorial","Hancock/Houghton, MI",MI,26,Michigan,43,
11097,1109702,31097,COD,"Cody, WY: Yellowstone Regional","Cody, WY",WY,56,Wyoming,88,
11109,1110902,30189,COS,"Colorado Springs, CO: City of Colorado Springs Municipal","Colorado Springs, CO",CO,08,Colorado,82,
11111,1111102,32474,COU,"Columbia, MO: Columbia Regional","Columbia, MO",MO,29,Missouri,64,
11122,1112203,31122,CPR,"Casper, WY: Casper/Natrona County International","Casper, WY",WY,56,Wyoming,88,
11140,1114006,31140,CRP,"Corpus Christi, TX: Corpus Christi International","Corpus Christi, TX",TX,48,Texas,74,
11146,1114604,31146,CRW,"Charleston/Dunbar, WV: Yeager","Charleston/Dunbar, WV",WV,54,West Virginia,39,
11150,1115003,31150,CSG,"Columbus, GA: Columbus Airport","Columbus, GA",GA,13,Georgia,34,
11193,1119302,33105,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International","Cincinnati, OH",KY,21,Kentucky,52,
11203,1120302,30424,CWA,"Mosinee, WI: Central Wisconsin","Mosinee, WI",WI,55,Wisconsin,45,
11252,1125203,31252,DAB,"Daytona Beach, FL: Daytona Beach International","Daytona Beach, FL",FL,12,Florida,33,
11259,1125903,30194,DAL,"Dallas, TX: Dallas Love Field","Dallas, TX",TX,48,Texas,74,
11267,1126702,31267,DAY,"Dayton, OH: James M Cox/Dayton International","Dayton, OH",OH,39,Ohio,44,
11278,1127803,30852,DCA,"Washington, DC: Ronald Reagan Washington National","Washington, DC",VA,51,Virginia,38,
11292,1129202,30325,DEN,"Denver, CO: Denver International","Denver, CO",CO,08,Colorado,82,
11298,1129804,30194,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International","Dallas/Fort Worth, TX",TX,48,Texas,74,
11308,1130802,31308,DHN,"Dothan, AL: Dothan Regional","Dothan, AL",AL,01,Alabama,51,
11337,1133703,31337,DLH,"Duluth, MN: Duluth International","Duluth, MN",MN,27,Minnesota,63,
11413,1141304,30285,DRO,"Durango, CO: Durango La Plata County","Durango, CO",CO,08,Colorado,82,
11423,1142304,31423,DSM,"Des Moines, IA: Des Moines International","Des Moines, IA",IA,19,Iowa,61,
11433,1143302,31295,DTW,"Detroit, MI: Detroit Metro Wayne County","Detroit, MI",MI,26,Michigan,43,
11447,1144703,31447,DVL,"Devils Lake, ND: Devils Lake Regional","Devils Lake, ND",ND,38,North Dakota,66,
11471,1147103,31471,EAU,"Eau Claire, WI: Chippewa Valley Regional","Eau Claire, WI",WI,55,Wisconsin,45,
11481,1148102,31481,ECP,"Panama City, FL: Northwest Florida Beaches International","Panama City, FL",FL,12,Florida,33,
11503,1150303,31503,EGE,"Eagle, CO: Eagle County Regional","Eagle, CO",CO,08,Colorado,82,
11525,1152503,31525,EKO,"Elko, NV: Elko Regional","Elko, NV",NV,32,Nevada,85,
11537,1153703,31537,ELM,"Elmira/Corning, NY: Elmira/Corning Regional","Elmira/Corning, NY",NY,36,New York,22,
11540,1154003,30615,ELP,"El Paso, TX: El Paso International","El Paso, TX",TX,48,Texas,74,
11577,1157704,31577,ERI,"Erie, PA: Erie International/Tom Ridge Field","Erie, PA",PA,42,Pennsylvania,23,
11587,1158702,31587,ESC,"Escanaba, MI: Delta County","Escanaba, MI",MI,26,Michigan,43,
11603,1160302,31603,EUG,"Eugene, OR: Mahlon Sweet Field","Eugene, OR",OR,41,Oregon,92,
11612,1161204,31612,EVV,"Evansville, IN: Evansville Regional","Evansville, IN",IN,18,Indiana,42,
11617,1161706,31617,EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional","New Bern/Morehead/Beaufort, NC",NC,37,North Carolina,36,
11618,1161802,31703,EWR,"Newark, NJ: Newark Liberty International","Newark, NJ",NJ,34,New Jersey,21,
11624,1162402,31624,EYW,"Key West, FL: Key West International","Key West, FL",FL,12,Florida,33,
11630,1163002,31517,FAI,"Fairbanks, AK: Fairbanks International","Fairbanks, AK",AK,02,Alaska,1,
11637,1163703,31637,FAR,"Fargo, ND: Hector International","Fargo, ND",ND,38,North Dakota,66,
11638,1163805,31638,FAT,"Fresno, CA: Fresno Yosemite International","Fresno, CA",CA,06,California,91,
11641,1164102,31641,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field","Fayetteville, NC",NC,37,North Carolina,36,
11648,1164802,31648,FCA,"Kalispell, MT: Glacier Park International","Kalispell, MT",MT,30,Montana,84,
11695,1169502,31695,FLG,"Flagstaff, AZ: Flagstaff Pulliam","Flagstaff, AZ",AZ,04,Arizona,81,
11697,1169704,32467,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","Fort Lauderdale, FL",FL,12,Florida,33,
11721,1172103,31721,FNT,"Flint, MI: Bishop International","Flint, MI",MI,26,Michigan,43,
11775,1177502,31775,FSD,"Sioux Falls, SD: Joe Foss Field","Sioux Falls, SD",SD,46,South Dakota,67,
11778,1177801,31778,FSM,"Fort Smith, AR: Fort Smith Regional","Fort Smith, AR",AR,05,Arkansas,71,
11823,1182304,31823,FWA,"Fort Wayne, IN: Fort Wayne International","Fort Wayne, IN",IN,18,Indiana,42,
11865,1186502,31865,GCC,"Gillette, WY: Gillette Campbell County","Gillette, WY",WY,56,Wyoming,88,
11867,1186703,31867,GCK,"Garden City, KS: Garden City Regional","Garden City, KS",KS,20,Kansas,62,
11884,1188402,31884,GEG,"Spokane, WA: Spokane International","Spokane, WA",WA,53,Washington,93,
11898,1189802,31898,GFK,"Grand Forks, ND: Grand Forks International","Grand Forks, ND",ND,38,North Dakota,66,
11921,1192102,31921,GJT,"Grand Junction, CO: Grand Junction Regional","Grand Junction, CO",CO,08,Colorado,82,
11953,1195302,31953,GNV,"Gainesville, FL: Gainesville Regional","Gainesville, FL",FL,12,Florida,33,
11973,1197302,31973,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International","Gulfport/Biloxi, MS",MS,28,Mississippi,53,
11977,1197703,31977,GRB,"Green Bay, WI: Green Bay Austin Straubel International","Green Bay, WI",WI,55,Wisconsin,45,
11982,1198202,31982,GRK,"Killeen, TX: Robert Gray AAF","Killeen, TX",TX,48,Texas,74,
11986,1198603,31986,GRR,"Grand Rapids, MI: Gerald R. Ford International","Grand Rapids, MI",MI,26,Michigan,43,
11995,1199502,31995,GSO,"Greensboro/High Point, NC: Piedmont Triad International","Greensboro/High Point, NC",NC,37,North Carolina,36,
11996,1199603,31871,GSP,"Greer, SC: Greenville-Spartanburg International","Greer, SC",SC,45,South Carolina,37,
12003,1200302,31895,GTF,"Great Falls, MT: Great Falls International","Great Falls, MT",MT,30,Montana,84,
12007,1200702,30894,GTR,"Columbus, MS: Golden Triangle Regional","Columbus, MS",MS,28,Mississippi,53,
12012,1201203,32012,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional","Gunnison, CO",CO,08,Colorado,82,
12016,1201602,32016,GUM,"Guam, TT: Guam International","Guam, TT",TT,75,U.S. Pacific Trust Territories and Possessions,5,
12094,1209402,34699,HDN,"Hayden, CO: Yampa Valley","Hayden, CO",CO,08,Colorado,82,
12129,1212903,32129,HIB,"Hibbing, MN: Range Regional","Hibbing, MN",MN,27,Minnesota,63,
12156,1215603,32156,HLN,"Helena, MT: Helena Regional","Helena, MT",MT,30,Montana,84,
12173,1217302,32134,HNL,"Honolulu, HI: Daniel K Inouye International","Honolulu, HI",HI,15,Hawaii,2,
12177,1217703,32177,HOB,"Hobbs, NM: Lea County Regional","Hobbs, NM",NM,35,New Mexico,86,
12191,1219102,31453,HOU,"Houston, TX: William P Hobby","Houston, TX",TX,48,Texas,74,
12197,1219702,31703,HPN,"White Plains, NY: Westchester County","White Plains, NY",NY,36,New York,22,
12206,1220603,32206,HRL,"Harlingen/San Benito, TX: Valley International","Harlingen/San Benito, TX",TX,48,Texas,74,
12217,1221702,30255,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field","Huntsville, AL",AL,01,Alabama,51,
12255,1225502,32255,HYS,"Hays, KS: Hays Regional","Hays, KS",KS,20,Kansas,62,
12264,1226402,30852,IAD,"Washington, DC: Washington Dulles International","Washington, DC",VA,51,Virginia,38,
12265,1226503,32265,IAG,"Niagara Falls, NY: Niagara Falls International","Niagara Falls, NY",NY,36,New York,22,
12266,1226603,31453,IAH,"Houston, TX: George Bush Intercontinental/Houston","Houston, TX",TX,48,Texas,74,
12278,1227803,30928,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National","Wichita, KS",KS,20,Kansas,62,
12280,1228002,32280,IDA,"Idaho Falls, ID: Idaho Falls Regional","Idaho Falls, ID",ID,16,Idaho,83,
12323,1232303,32323,ILM,"Wilmington, NC: Wilmington International","Wilmington, NC",NC,37,North Carolina,36,
12335,1233502,32335,IMT,"Iron Mountain/Kingsfd, MI: Ford","Iron Mountain/Kingsfd, MI",MI,26,Michigan,43,
12339,1233904,32337,IND,"Indianapolis, IN: Indianapolis International","Indianapolis, IN",IN,18,Indiana,42,
12343,1234303,32343,INL,"International Falls, MN: Falls International Einarson Field","International Falls, MN",MN,27,Minnesota,63,
12389,1238902,32389,ISN,"Williston, ND: Sloulin Field International","Williston, ND",ND,38,North Dakota,66,
12391,1239102,31703,ISP,"Islip, NY: Long Island MacArthur","Islip, NY",NY,36,New York,22,
12397,1239702,32397,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional","Ithaca/Cortland, NY",NY,36,New York,22,
12402,1240203,32402,ITO,"Hilo, HI: Hilo International","Hilo, HI",HI,15,Hawaii,2,
12441,1244102,32441,JAC,"Jackson, WY: Jackson Hole","Jackson, WY",WY,56,Wyoming,88,
12448,1244805,32448,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International","Jackson/Vicksburg, MS",MS,28,Mississippi,53,
12451,1245102,31136,JAX,"Jacksonville, FL: Jacksonville International","Jacksonville, FL",FL,12,Florida,33,
12478,1247803,31703,JFK,"New York, NY: John F. Kennedy International","New York, NY",NY,36,New York,22,
12519,1251902,32519,JMS,"Jamestown, ND: Jamestown Regional","Jamestown, ND",ND,38,North Dakota,66,
12523,1252304,32523,JNU,"Juneau, AK: Juneau International","Juneau, AK",AK,02,Alaska,1,
12758,1275803,32758,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole","Kona, HI",HI,15,Hawaii,2,
12819,1281902,31401,KTN,"Ketchikan, AK: Ketchikan International","Ketchikan, AK",AK,02,Alaska,1,
12884,1288403,32884,LAN,"Lansing, MI: Capital Region International","Lansing, MI",MI,26,Michigan,43,
12888,1288802,32888,LAR,"Laramie, WY: Laramie Regional","Laramie, WY",WY,56,Wyoming,88,
12889,1288903,32211,LAS,"Las Vegas, NV: McCarran International","Las Vegas, NV",NV,32,Nevada,85,
12891,1289102,32891,LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional","Lawton/Fort Sill, OK",OK,40,Oklahoma,73,
12892,1289205,32575,LAX,"Los Angeles, CA: Los Angeles International","Los Angeles, CA",CA,06,California,91,
12896,1289605,32896,LBB,"Lubbock, TX: Lubbock Preston Smith International","Lubbock, TX",TX,48,Texas,74,
12898,1289804,32898,LBE,"Latrobe, PA: Arnold Palmer Regional","Latrobe, PA",PA,42,Pennsylvania,23,
12915,1291503,31205,LCH,"Lake Charles, LA: Lake Charles Regional","Lake Charles, LA",LA,22,Louisiana,72,
12945,1294503,32945,LEX,"Lexington, KY: Blue Grass","Lexington, KY",KY,21,Kentucky,52,
12951,1295104,32951,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field","Lafayette, LA",LA,22,Louisiana,72,
12953,1295302,31703,LGA,"New York, NY: LaGuardia","New York, NY",NY,36,New York,22,
12954,1295403,32575,LGB,"Long Beach, CA: Long Beach Airport","Long Beach, CA",CA,06,California,91,
12982,1298202,32982,LIH,"Lihue, HI: Lihue Airport","Lihue, HI",HI,15,Hawaii,2,
12992,1299204,32600,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field","Little Rock, AR",AR,05,Arkansas,71,
13029,1302902,33029,LNK,"Lincoln, NE: Lincoln Airport","Lincoln, NE",NE,31,Nebraska,65,
13061,1306104,33038,LRD,"Laredo, TX: Laredo International","Laredo, TX",TX,48,Texas,74,
13076,1307603,33076,LSE,"La Crosse, WI: La Crosse Regional","La Crosse, WI",WI,55,Wisconsin,45,
13127,1312702,33127,LWS,"Lewiston, ID: Lewiston Nez Perce County","Lewiston, ID",ID,16,Idaho,83,
13158,1315803,33158,MAF,"Midland/Odessa, TX: Midland International Air and Space Port","Midland/Odessa, TX",TX,48,Texas,74,
13184,1318403,33184,MBS,"Saginaw/Bay City/Midland, MI: MBS International","Saginaw/Bay City/Midland, MI",MI,26,Michigan,43,
13198,1319801,33198,MCI,"Kansas City, MO: Kansas City International","Kansas City, MO",MO,29,Missouri,64,
13204,1320402,31454,MCO,"Orlando, FL: Orlando International","Orlando, FL",FL,12,Florida,33,
13230,1323002,32070,MDT,"Harrisburg, PA: Harrisburg International","Harrisburg, PA",PA,42,Pennsylvania,23,
13232,1323202,30977,MDW,"Chicago, IL: Chicago Midway International","Chicago, IL",IL,17,Illinois,41,
13241,1324102,33241,MEI,"Meridian, MS: Key Field","Meridian, MS",MS,28,Mississippi,53,
13244,1324402,33244,MEM,"Memphis, TN: Memphis International","Memphis, TN",TN,47,Tennessee,54,
13256,1325602,33256,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International","Mission/McAllen/Edinburg, TX",TX,48,Texas,74,
13264,1326403,33264,MFR,"Medford, OR: Rogue Valley International - Medford","Medford, OR",OR,41,Oregon,92,
13277,1327702,33277,MGM,"Montgomery, AL: Montgomery Regional","Montgomery, AL",AL,01,Alabama,51,
